Citation Text,Target,Drug,Development Status,Drug Class,Evidence Citation
PMID:33872652,IL1RAP,ASTEGOLIMAB,investigational,inhibitor,PMID:33872652
PMID:21801403,IL1R1,AMG-108,investigational,antagonist,PMID:21801403
PMID:20140476,IL1B,RILONACEPT,approved,inhibitor,PMID:20140476
PMID:21048425,IL1B,GEVOKIZUMAB,investigational,negative allosteric modulator,PMID:21048425
PMID:30552176,IL1B,LUTIKIZUMAB,investigational,inhibitor,PMID:30552176
PMID:20229566,CASP1,BELNACASAN,investigational,inhibitor,PMID:20229566
PMID:29378952,NLRP3,DAPANSUTRILE,investigational,inhibitor,PMID:29378952
PMID:21667042,CASP1,NIVOCASAN,investigational,inhibitor,PMID:21667042
PMID:21667042,CASP9,NIVOCASAN,investigational,inhibitor,PMID:21667042
PMID:22950522,MAPKAPK5,GLPG-0259,investigational,inhibitor,PMID:22950522
PMID:22781553,MAPKAPK2,AT-13148,investigational,inhibitor,PMID:22781553
PMID:24679469,IL23A,GUSELKUMAB,approved,inhibitor,PMID:24679469
PMID:30734266,IL23A,MIRIKIZUMAB,approved,inhibitor,PMID:30734266
PMID:26042589,IL23A,TILDRAKIZUMAB,approved,inhibitor,PMID:26042589
PMID:10716879,CD3E,TEPLIZUMAB,approved,other,PMID:10716879
PMID:11349730,CD3E,VISILIZUMAB,investigational,inhibitor,PMID:11349730
PMID:19015347,CD4,IBALIZUMAB,approved,inhibitor,PMID:19015347
PMID:11004613,CD4,CEDELIZUMAB,investigational,inhibitor,PMID:11004613
PMID:30995373,CD4,SEMZUVOLIMAB,investigational,inhibitor,PMID:30995373
PMID:20823884,FYN,JNJ-26483327,investigational,inhibitor,PMID:20823884
PMID:20823884,LCK,JNJ-26483327,investigational,inhibitor,PMID:20823884
