Target,Drug,Development Status,Citation Text,Evidence Citation
CD3E,TEPLIZUMAB,approved,PMID:10716879,PMID:10716879
CD3E,VISILIZUMAB,investigational,PMID:11349730,PMID:11349730
SYK,FOSTAMATINIB,approved,PMID:19965662,PMID:19965662
SYK,ENTOSPLETINIB,investigational,PMID:24779514,PMID:24779514
SYK,R-348,investigational,PMID:18360272,PMID:18360272
FYN,JNJ-26483327,investigational,PMID:20823884,PMID:20823884
LCK,JNJ-26483327,investigational,PMID:20823884,PMID:20823884
CD4,IBALIZUMAB,approved,PMID:19015347,PMID:19015347
CD4,CEDELIZUMAB,investigational,PMID:11004613,PMID:11004613
CD4,SEMZUVOLIMAB,investigational,PMID:30995373,PMID:30995373
CD40LG,DAPIROLIZUMAB PEGOL,investigational,PMID:25784719,PMID:25784719
CD40LG,RAVAGALIMAB,investigational,PMID:31382872,PMID:31382872
CD40LG,TORALIZUMAB,investigational,PMID:11360929,PMID:11360929
CD14,IC14,investigational,PMID:11207321,PMID:11207321
CD40,BLESELUMAB,investigational,PMID:29679478,PMID:29679478
CD40,SOTIGALIMAB,investigational,PMID:33387490,PMID:33387490
TLR3,BEVASIRANIB,investigational,PMID:18368052,PMID:18368052
TLR3,RINTATOLIMOD,investigational,PMID:11607032,PMID:11607032
TRAF3IP2,IGURATIMOD,investigational,PMID:23116200,PMID:23116200
IL23A,GUSELKUMAB,approved,PMID:24679469,PMID:24679469
IL23A,MIRIKIZUMAB,approved,PMID:30734266,PMID:30734266
IL23A,TILDRAKIZUMAB,approved,PMID:26042589,PMID:26042589
MAPKAPK2,AT-13148,investigational,PMID:22781553,PMID:22781553
MAPKAPK5,GLPG-0259,investigational,PMID:22950522,PMID:22950522
TNFRSF13C,IANALUMAB,investigational,PMID:30826774,PMID:30826774
IL1B,RILONACEPT,approved,PMID:20140476,PMID:20140476
IL1B,GEVOKIZUMAB,investigational,PMID:21048425,PMID:21048425
IL1B,LUTIKIZUMAB,investigational,PMID:30552176,PMID:30552176
TNFSF13B,ATACICEPT,investigational,PMID:18046446,PMID:18046446
TNFSF13B,BLISIBIMOD,investigational,PMID:22325420,PMID:22325420
TNFSF13B,TABALUMAB,investigational,PMID:25258549,PMID:25258549
IL1RAP,ASTEGOLIMAB,investigational,PMID:33872652,PMID:33872652
CASP1,BELNACASAN,investigational,PMID:20229566,PMID:20229566
CASP8,NIVOCASAN,investigational,PMID:21667042,PMID:21667042
CASP1,NIVOCASAN,investigational,PMID:21667042,PMID:21667042
NLRP3,DAPANSUTRILE,investigational,PMID:29378952,PMID:29378952
TXN,PX-12,investigational,PMID:16459166,PMID:16459166
IL1R1,AMG-108,investigational,PMID:21801403,PMID:21801403
CD80,GALIXIMAB,investigational,PMID:22267549,PMID:22267549
ICOS,MEDI-570,investigational,PMID:28916434,PMID:28916434
ICOS,VOPRATELIMAB,investigational,PMID:32970735,PMID:32970735
CASP9,NIVOCASAN,investigational,PMID:21667042,PMID:21667042
