"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_MF_DIRECT","protein binding","138","142","13741","19272","6.76e-16","2.24e-13","1.36","2.20e-13","1.95e-13","4.95e-16","CD86,TRAF3IP2,CD80,CTNND1,CBLB,TXN2,PYCARD,TBK1,CDH1,GRAP2,DHX58,AZI2,SKP1,RALBP1,IL1R1,FBXW11,TICAM1,RNF125,CLEC4D,CD8B,TBL1XR1,IL23A,CD8A,MAPKAPK2,TXNIP,MAPKAPK5,CARD16,CLEC4E,NAIP,SKAP1,CARD11,BEX3,CUL1,LY96,BRCC3,TXN,BCL10,MEFV,SAV1,STK3,TKFC,DHX33,CLEC7A,NLRP3,FADD,NLRP1,CD14,TP53BP1,ICOS,GSDMD,FYB1,SIAH1,MOB1B,CYLD,MOB1A,AFDN,MAVS,ATG16L1,BCL3,PIN1,CYCS,FAT4,NF2,RGL1,RGL2,LAT,BCL2L1,YWHAE,CD40,DDX3X,HSPB1,LSP1,LIMD1,CD3E,TNFSF13B,CASP9,IFIH1,PSTPIP1,CASP8,CASP5,YWHAQ,CASP10,CASP4,CASP1,FCER1A,CLEC1B,IKBKE,CTSD,FCER1G,APAF1,SYK,EXOC7,CACYBP,LATS1,ZAP70,SIKE1,LATS2,AIM2,IRF3,TRAF4,LCK,IL1B,RAPGEF1,IRF7,MS4A2,TLR4,RHOQ,TLR3,EXOC2,ARF6,RALA,RNASEL,RALB,NOD1,NLRC4,NOD2,TANK,RELB,IFI16,MFN1,CTNNA1,MFN2,FYN,TBL1X,BID,CARD8,ERBIN,CFLAR,ITCH,CD4,CD40LG,STING1,TRIP10,TBKBP1,PKN2,CD247,SUGT1,SIPA1"
"GOTERM_CC_DIRECT","cytoplasm","104","142","7749","20808","3.78e-18","3.03e-16","1.97","9.08e-16","2.52e-16","1.91e-18","TRAF3IP2,CTNND1,CBLB,PYCARD,TBK1,CDH1,GRAP2,DHX58,AZI2,SKP1,RALBP1,FBXW11,TICAM1,RNF125,MAPKAPK2,TXNIP,MAPKAPK5,CARD16,NAIP,SKAP1,CARD11,BEX3,CUL1,BRCC3,TXN,BCL10,MEFV,SAV1,STK3,DHX33,CLEC7A,NLRP3,FADD,NLRP1,TP53BP1,GSDMD,FYB1,SIAH1,MOB1B,CYLD,MOB1A,AFDN,ATG16L1,BCL3,PIN1,NF2,BCL2L1,YWHAE,DDX3X,HSPB1,LIMD1,TNFSF13B,CASP9,IFIH1,PSTPIP1,CASP8,CASP5,YWHAQ,CASP10,CASP4,CASP1,IKBKE,CTSD,APAF1,SYK,EXOC7,CACYBP,LATS1,ZAP70,SIKE1,LATS2,AIM2,IRF3,TRAF4,LCK,IL1B,RAPGEF1,IRF7,TLR4,RHOQ,TLR3,ARF6,RNASEL,NOD1,NLRC4,NOD2,TANK,RELB,IFI16,MFN1,CTNNA1,FYN,BID,CARD8,ERBIN,CFLAR,ITCH,STING1,TRIP10,TBKBP1,PKN2,CD247,SUGT1,SIPA1"
"UP_KW_PTM","Phosphoprotein","101","133","8489","14452","2.93e-5","2.49e-4","1.29","4.68e-4","2.19e-4","2.24e-5","CD80,CTNND1,CBLB,IL1RAP,PYCARD,TBK1,CDH1,GRAP2,AZI2,SKP1,RALBP1,IL1R1,TICAM1,CD8B,TBL1XR1,MAPKAPK2,TXNIP,MAPKAPK5,CARD16,SKAP1,CARD11,BRCC3,BCL10,MEFV,SAV1,STK3,TKFC,CLEC7A,NLRP3,FADD,NLRP1,TP53BP1,GSDMD,FYB1,SIAH1,MOB1B,CYLD,MOB1A,AFDN,MAVS,ATG16L1,BCL3,PIN1,CYCS,DCHS1,FAT4,NF2,RGL1,RGL2,LAT,BCL2L1,YWHAE,DDX3X,HSPB1,LSP1,LIMD1,CD3E,CASP9,IFIH1,PSTPIP1,CASP8,YWHAQ,CASP4,CASP1,CLEC1B,IKBKE,FCER1G,SYK,EXOC7,CACYBP,LATS1,ZAP70,LATS2,IRF3,TRAF4,LCK,RAPGEF1,IRF7,MS4A2,TLR3,EXOC2,RALA,NLRC4,TANK,RELB,IFI16,CTNNA1,MFN2,FYN,TBL1X,BID,ERBIN,ITCH,CD4,STING1,TRIP10,TBKBP1,PKN2,CD247,SUGT1,SIPA1"
"GOTERM_CC_DIRECT","cytosol","93","142","5677","20808","3.73e-21","4.48e-19","2.40","8.96e-19","3.73e-19","1.54e-21","YWHAE,DDX3X,CTNND1,HSPB1,CBLB,LIMD1,IFIH1,PYCARD,CASP9,PSTPIP1,TBK1,CASP8,CASP5,YWHAQ,CASP10,GRAP2,CASP4,CASP1,IKBKE,CTSD,SKP1,RALBP1,APAF1,SYK,EXOC7,FBXW11,CACYBP,TICAM1,LATS1,ZAP70,SIKE1,LATS2,AIM2,TRAF4,IRF3,LCK,IL1B,MAPKAPK2,RAPGEF1,IRF7,TXNIP,MAPKAPK5,CARD16,SKAP1,CARD11,EXOC2,ARF6,BEX3,RNASEL,CUL1,NOD1,BRCC3,BCL10,NLRC4,NOD2,TXN,MEFV,TANK,STK3,SAV1,RELB,TKFC,IFI16,CTNNA1,MFN2,NLRP3,FYN,FADD,NLRP1,BID,GSDMD,FYB1,CARD8,SIAH1,CFLAR,MOB1B,CYLD,MOB1A,AFDN,ITCH,STING1,ATG16L1,BCL3,TRIP10,PIN1,CYCS,PKN2,SUGT1,NF2,RGL1,RGL2,SIPA1,BCL2L1"
"UP_KW_CELLULAR_COMPONENT","Cytoplasm","85","130","5979","18195","5.60e-14","6.72e-13","1.99","1.35e-12","5.60e-13","2.79e-14","YWHAE,DDX3X,CTNND1,HSPB1,CBLB,LIMD1,IFIH1,PYCARD,PSTPIP1,TBK1,CASP8,YWHAQ,CDH1,GRAP2,DHX58,CASP4,CASP1,AZI2,IKBKE,RALBP1,APAF1,SYK,EXOC7,FBXW11,CACYBP,TICAM1,LATS1,ZAP70,SIKE1,LATS2,AIM2,TRAF4,IRF3,LCK,IL1B,MAPKAPK2,IRF7,TXNIP,MAPKAPK5,CARD16,RHOQ,SKAP1,CARD11,ARF6,BEX3,RNASEL,NOD1,BRCC3,BCL10,NLRC4,NOD2,TXN,MEFV,TANK,STK3,SAV1,RELB,DHX33,IFI16,CLEC7A,CTNNA1,MFN1,NLRP3,FYN,FADD,NLRP1,BID,GSDMD,FYB1,CARD8,SIAH1,MOB1B,CYLD,MOB1A,ITCH,STING1,ATG16L1,BCL3,TRIP10,PIN1,PKN2,SUGT1,NF2,SIPA1,BCL2L1"
"GOTERM_CC_DIRECT","membrane","76","142","9038","20808","1.22e-2","7.33e-2","1.23","9.48e-1","6.11e-2","9.70e-3","CD86,YWHAE,CD40,DDX3X,TRAF3IP2,CD80,CTNND1,TNFRSF13C,LSP1,IL1RAP,CD3E,TNFSF13B,PYCARD,PSTPIP1,YWHAQ,CDH1,CASP4,CASP1,FCER1A,CLEC1B,RALBP1,FCER1G,APAF1,SYK,EXOC7,IL1R1,ZAP70,RNF125,CLEC4D,TRAF4,CD8B,CD8A,LCK,TBL1XR1,CLEC4E,MS4A2,TLR4,RHOQ,SKAP1,TLR3,CARD11,EXOC2,ARF6,RALA,RALB,NOD1,BCL10,NOD2,IFI16,CLEC7A,CTNNA1,MFN1,MFN2,NLRP3,FYN,CD14,ICOS,BID,GSDMD,ERBIN,CYLD,ITCH,CD4,MAVS,CD40LG,STING1,ATG16L1,TRIP10,DCHS1,PKN2,FAT4,CD247,NF2,LAT,SIPA1,BCL2L1"
"GOTERM_CC_DIRECT","plasma membrane","75","142","5927","20808","1.63e-9","5.58e-8","1.85","3.90e-7","4.65e-8","8.66e-10","CD86,YWHAE,CD40,DDX3X,CD80,CTNND1,HSPB1,CBLB,TNFRSF13C,LSP1,IL1RAP,CD3E,LIMD1,TNFSF13B,PSTPIP1,CASP8,CDH1,GRAP2,CASP4,CASP1,FCER1A,CLEC1B,RALBP1,FCER1G,SYK,EXOC7,IL1R1,ZAP70,CLEC4D,TRAF4,CD8B,CD8A,LCK,RAPGEF1,CARD16,CLEC4E,MS4A2,TLR4,RHOQ,SKAP1,TLR3,CARD11,EXOC2,ARF6,RALA,RALB,CUL1,LY96,NOD1,NLRC4,NOD2,MEFV,CLEC7A,CTNNA1,FYN,CD14,FADD,ICOS,GSDMD,FYB1,ERBIN,CYLD,AFDN,ITCH,CD4,CD40LG,STING1,TRIP10,DCHS1,PKN2,FAT4,CD247,NF2,RGL1,LAT"
"UP_KW_CELLULAR_COMPONENT","Membrane","73","130","8428","18195","1.88e-2","6.45e-2","1.21","3.66e-1","5.38e-2","1.52e-2","CD86,CD40,DDX3X,TRAF3IP2,CD80,CTNND1,TNFRSF13C,LSP1,IL1RAP,CD3E,TNFSF13B,PYCARD,PSTPIP1,CDH1,CASP4,CASP1,FCER1A,CLEC1B,RALBP1,FCER1G,APAF1,SYK,EXOC7,IL1R1,ZAP70,RNF125,CLEC4D,TRAF4,CD8B,CD8A,LCK,TBL1XR1,CARD16,CLEC4E,MS4A2,TLR4,RHOQ,SKAP1,TLR3,CARD11,ARF6,RALA,RALB,NOD1,BCL10,NOD2,CLEC7A,CTNNA1,MFN1,MFN2,NLRP3,FYN,CD14,ICOS,BID,GSDMD,ERBIN,CYLD,ITCH,CD4,MAVS,CD40LG,STING1,ATG16L1,TRIP10,DCHS1,PKN2,FAT4,CD247,NF2,LAT,SIPA1,BCL2L1"
"GOTERM_CC_DIRECT","nucleus","64","142","7054","20808","4.94e-3","3.49e-2","1.33","6.95e-1","2.91e-2","3.63e-3","YWHAE,DDX3X,TRAF3IP2,CTNND1,HSPB1,LIMD1,IFIH1,PYCARD,CASP9,CASP8,YWHAQ,GRAP2,IKBKE,SKP1,RALBP1,APAF1,SYK,FBXW11,CACYBP,LATS1,LATS2,AIM2,TRAF4,IRF3,TBL1XR1,MAPKAPK2,IRF7,TXNIP,MAPKAPK5,SKAP1,BEX3,CUL1,BRCC3,BCL10,TXN,MEFV,STK3,SAV1,RELB,TKFC,DHX33,IFI16,CTNNA1,NLRP3,FYN,NLRP1,TP53BP1,TBL1X,GSDMD,FYB1,CARD8,SIAH1,ERBIN,MOB1B,MOB1A,ITCH,BCL3,PIN1,CYCS,PKN2,SUGT1,NF2,SIPA1,BCL2L1"
"UP_KW_PTM","Ubl conjugation","58","133","2816","14452","3.69e-10","6.27e-9","2.24","5.90e-9","5.53e-9","1.62e-10","CD86,YWHAE,DDX3X,CTNND1,CBLB,IFIH1,PYCARD,CASP9,TBK1,YWHAQ,CDH1,CASP1,AZI2,IKBKE,SKP1,SYK,TICAM1,ZAP70,RNF125,TRAF4,IRF3,LCK,TBL1XR1,MAPKAPK2,RAPGEF1,IRF7,TXNIP,CARD16,TLR4,TLR3,BEX3,CUL1,NOD1,BCL10,NOD2,TXN,STK3,DHX33,IFI16,CTNNA1,MFN1,MFN2,NLRP3,NLRP1,TP53BP1,TBL1X,BID,GSDMD,CARD8,CYLD,ITCH,MAVS,STING1,BCL3,SUGT1,NF2,LAT,BCL2L1"
