Target,Candidate Drug,Drug Class,Evidence Citation (PMID/DOI/Author-Year),Development Status (approved/investigational/preclinical/unknown)
LY96,No validated drug,unknown,No direct evidence found,unknown
MAPKAPK2,AT-13148,inhibitor,PMID:22781553; DOI:10.1158/1078-0432.CCR-11-3313,investigational
MAPKAPK5,GLPG-0259,inhibitor,PMID:22950522; DOI:10.2165/11633120-000000000-00000,investigational
MAVS,No validated drug,unknown,No direct evidence found,unknown
MEFV,No validated drug,unknown,No direct evidence found,unknown
MFN1,No validated drug,unknown,No direct evidence found,unknown
MFN2,No validated drug,unknown,No direct evidence found,unknown
MOB1A,No validated drug,unknown,No direct evidence found,unknown
MOB1B,No validated drug,unknown,No direct evidence found,unknown
MS4A2,No validated drug,unknown,No direct evidence found,unknown
NAIP,No validated drug,unknown,No direct evidence found,unknown
NF2,No validated drug,unknown,No direct evidence found,unknown
NLRC4,No validated drug,unknown,No direct evidence found,unknown
NLRP1,No validated drug,unknown,No direct evidence found,unknown
NLRP3,DAPANSUTRILE,inhibitor,PMID:29378952; DOI:10.1073/pnas.1716095115,investigational
NOD1,No validated drug,unknown,No direct evidence found,unknown
NOD2,No validated drug,unknown,No direct evidence found,unknown
PIN1,No validated drug,unknown,No direct evidence found,unknown
PKN2,No validated drug,unknown,No direct evidence found,unknown
PSTPIP1,No validated drug,unknown,No direct evidence found,unknown
