target_symbol,rank,weight1,weight2,t2ds_no_t2ds_pvalue,pret2ds_no_t2ds_pvalue
AFDN,1,0.252370203545445,0.252368583108856,0.0502210571129326,0.0100890600762468
AIM2,2,0.232109428956863,0.235060564882265,0.0178183193898087,0.26629729631495
APAF1,3,0.217460589895098,0.219403915480128,0.20364347588556,0.029787156722245
ARF6,4,0.143962912010512,0.14379984712443,0.0158101498937261,0.0470060475383765
ATG16L1,5,0.108177212301969,0.106631696729491,0.0526049488930237,0.0534850255903197
AZI2,6,0.255020457964857,0.255835430402858,0.0197823795542881,0.122195880640765
BCL10,7,0.0374551346419493,0.0374493346601866,0.0150954145949223,0.0673912948221108
BCL2L1,8,0.0690318461135663,0.0686731813857538,0.0447209122747484,0.062642246800028
BCL3,9,0.131009398373414,0.128826332154854,0.0098935015226612,0.0763822539566287
BEX3,10,0.41382312387549,0.412995600763461,0.0074912252165908,0.155645575780763
BID,11,0.593912776213787,0.593533324533566,0.145342581262079,0.166957608550261
BRCC3,12,0.266181490260265,0.259984872085192,0.0373430755568526,0.123148390565156
CACYBP,13,0.279408928214559,0.270698875808897,0.178314240226357,0.155431109563638
CARD11,14,0.0602493374179891,0.0604268516701197,0.411452719734296,0.39012625003297
CARD16,15,0.275160831862745,0.274049506330128,0.0297638636077187,0.0007048262608023
CARD8,16,0.333333333333333,0.333333333333333,0.194496069723543,0.277549555878038
CASP1,17,0.133665287891695,0.131390422743745,0.287382713510719,0.0449987078313646
CASP10,18,0.067439802052628,0.0676151916535231,0.0045051002233087,0.0133599014117992
CASP4,19,0.34028269171951,0.339526781229105,0.345641405976357,0.235118237062539
CASP5,20,0.323266679111372,0.33709381382288,0.0529856923439739,0.13072796254824
CASP8,21,0.0466931489357036,0.0467352183701292,0.0690212185230067,0.260322463735437
CASP9,22,0.0860553879937763,0.0865292686076529,0.0034362699258957,0.0012965136312066
CBLB,23,0.073616783465445,0.0729301693838576,0.0477180575197994,0.180389910676736
CD14,24,0.213483909600245,0.209950069877628,0.0248391547244728,0.0201406536878838
CD247,25,0.106009749456377,0.108428961837721,0.165423026235092,0.139058201393804
CD3E,26,0.182911831051245,0.183147415129846,0.102593996900441,0.300782642033772
CD4,27,0.183237164337392,0.185588687792436,0.0499659199520587,0.0715393287260281
CD40,28,0.198083794743667,0.197973618729003,0.0865327214275202,0.0535154696739157
CD40LG,29,0.360766290992297,0.361814809111264,0.000129985405944,0.0467611073362453
CD80,30,0.2,0.2,0.0456568956536384,0.0602894165175113
CD86,31,0.2,0.2,0.0270864858614348,0.0037797156122222
CD8A,32,0.180962808245451,0.18424482348391,0.212756558075034,0.180549752485816
CD8B,33,0.181483816019343,0.187939933288712,0.108218691615287,0.0246346517648026
CDH1,34,0.265962917474389,0.26730002145899,0.0300224741287484,0.0013952679665447
CFLAR,35,0.132194691846992,0.133870898325126,0.0231291245195539,0.0187611955554858
CLEC1B,36,0.220433882217941,0.228000588987179,0.0112745412842247,0.005496917913558
CLEC4D,37,0.292573362638317,0.29363032297703,0.0083304347293443,0.013231933874338
CLEC4E,38,0.147296298258502,0.146567537650115,0.0901371561068095,0.0309908519657916
CLEC7A,39,0.170605666791367,0.170790520796138,0.0194236046308694,0.313109379051738
CTNNA1,40,0.0632769996053375,0.063310619682536,0.0964537900567162,0.201282109594415
CTNND1,41,0.352863803305882,0.3524355975625,0.0063052857538576,0.0670608422154787
CTSD,42,0.50724403395133,0.507243397407999,0.139664512276614,0.497378864983964
CUL1,43,0.071659718738079,0.0716341393046122,0.0126013067639521,0.0948419054155996
CYCS,44,0.191399238766649,0.191900593391268,0.0232613752390711,0.0186132473932437
CYLD,45,0.0955452894529342,0.0959317640665273,0.0015783159127327,0.0156259720764223
DCHS1,46,0.31817752015098,0.317310830903205,0.218294303656936,0.0242449504078824
DDX3X,47,0.183020010102941,0.183764719982051,0.0147997352169815,0.0519249713972889
DHX33,48,0.547941583721585,0.548028496787438,0.264341853721338,0.0166008062989165
DHX58,49,0.347264939343431,0.346993297875513,0.171485411472971,0.0570746873726001
ERBIN,50,1,1,0.0139672700050136,0.0573960812152077
EXOC2,51,0.167007963685644,0.166715813069528,0.311146394916237,0.0312211398483257
EXOC7,52,0.19567602905,0.195505852442949,0.0394987053047414,0.0090647102257209
FADD,53,0.0484288851730051,0.0484416829077813,0.17791293713803,0.256493839536576
FAT4,54,0.40181501145098,0.403577251173077,0.42886297721414,0.39967842615613
FBXW11,55,0.110266276151229,0.110314801095865,0.0048885571011634,0.0041631384170604
FCER1A,56,0.0560630460793746,0.0559020670837249,0.0104229672178423,0.0136193474938397
FCER1G,57,0.0832250002648843,0.0834992683465258,0.0126234261924804,0.486699351549563
FYB1,58,0.125279424380471,0.125330029450777,0.0371161238365934,0.0354306411772339
FYN,59,0.0595541529554125,0.0598284540559197,0.231981476638541,0.123148423197889
GRAP2,60,0.102475017617297,0.102455633581616,0.104176979179463,0.0263144006634672
GSDMD,61,0.159081331170931,0.160593379338424,0.229799881662215,0.265875106790412
HSPB1,62,0.23180983102648,0.231851054138182,0.031027718515984,0.329890870815756
ICOS,63,0.0221186374690699,0.02211979285379,0.0242246034607854,0.194017825895251
IFI16,64,0.179489966568736,0.178990261369159,0.0108800487232719,0.299638085786354
IFIH1,65,0.214482338457254,0.21458605788988,0.0207560933314757,0.0026532836541101
IFNK,66,0.0287913175740791,0.0289527465960031,0.186067972670611,0.180230151887399
IKBKE,67,0.0376239791054279,0.0376162260452761,0.315029264265824,0.0939708937461003
IL1B,68,0.258321372286536,0.258125402515076,0.0797265684745273,0.0184174742637734
IL1R1,69,0.266139295994123,0.266080500732414,0.0149148094904134,0.118791253534292
IL1RAP,70,0.311112381483333,0.310973664969231,0.0014563815647436,0.0130418762220774
IL23A,71,0.0394598582318229,0.0386439239289312,0.0704118856212451,0.298837481920515
IRF3,72,0.0836914968861916,0.0836228485294292,0.0361647540640318,0.16233127805604
IRF7,73,0.0936932958846497,0.0943744838076338,0.294207572993023,2.63834300086723e-05
ITCH,74,0.141304823981498,0.141967676908532,0.0067159891752753,0.0591246899284761
LAT,75,0.0334969909434418,0.0334911181112805,0.0294374992175918,0.189587109295025
LATS1,76,0.148289639431944,0.148249329895166,0.0204157198047162,0.0136567594616306
LATS2,77,0.148688083691789,0.148657888176282,0.0052606420677571,0.0119349599897146
LCK,78,0.136508897614975,0.137515200186664,0.127028981614826,0.0941155894489665
LIMD1,79,0.236385039793028,0.236197025112536,0.0472996838525119,0.104120069851343
LSP1,80,0.113077906116861,0.113129601067711,0.149342182421223,0.101632824587662
LY96,81,0.362029550665988,0.363657175061302,0.0010006614007719,0.164110438280262
MAPKAPK2,82,0.0489858496453234,0.0488900072582864,0.0349107021836126,0.154717865929387
MAPKAPK5,83,0.243492315255293,0.243564952410154,0.018817287852054,0.0629546909196514
MAVS,84,0.057453999688263,0.0574868048232649,0.565459286725995,0.265769597682572
MEFV,85,0.195790120637221,0.195705202166724,0.0758460189443076,0.256185209599932
MFN1,86,0.142857142857143,0.142857142857143,0.0446547648445155,0.201108941613241
